path,class,existsAtReferenceScan,directOldIndexDat,serializedReferrerCount,exactScriptLiteralCount,defaultFormalObjectPrewarm,retainedReachability,retirementGate,deleteAuthorized
Assets/NTSD/Config/Character/chiyo.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/deidara.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/deidara_bird.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/gaara.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/hidan.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/Hsasori.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/hunter.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/itachi.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/jiraiya.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/jiroubou.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/kabuto.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/kakashi.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/kakuzu.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/kankuro.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/kiba.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/kidomaru.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/kisame.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/kyubi.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/naruto.dat,OLD_DAT,true,true,0,1,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/naruto_clone.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/nckakuzu.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/neji.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/orochimaru.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/pein.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/puppet_sasori.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/reaper.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/rock_lee.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/sai.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/sakon.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/sakura.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/sand_creature.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/sasori.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/sasuke.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/sasuke_cs2.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/shikamaru.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
Assets/NTSD/Config/Character/shino.dat,OLD_DAT,true,true,0,0,LoganRuntime,explicit empty-root loader; Editor RefreshAllData; retained tests,KEEP_LEGACY_INDEX,false
