Character/Hsasori.dat	-1	-1	FILE	-1	frameCount	200
Character/Hsasori.dat	0	0	FRAME	-1	scalars	name64=c3RhbmRpbmc=;pic=0;state=0;wait=7;next=1;dvx=0;dvy=0;dvz=0;centerx=39;centery=78;mp=0;hit_a=0;hit_d=0;hit_j=0;hit_Fj=275;hit_Fa=235;hit_Da=280;hit_Ua=240;hit_ja=270;hit_Dj=245;hit_Uj=255;sound64=
Character/Hsasori.dat	0	0	ITR	-1	count	0
Character/Hsasori.dat	0	0	BDY	-1	count	2
Character/Hsasori.dat	0	0	BDY	0	x	21
Character/Hsasori.dat	0	0	BDY	0	y	18
Character/Hsasori.dat	0	0	BDY	0	w	57
Character/Hsasori.dat	0	0	BDY	0	h	55
Character/Hsasori.dat	0	0	BDY	1	x	21
Character/Hsasori.dat	0	0	BDY	1	y	80000
Character/Hsasori.dat	0	0	BDY	1	w	43
Character/Hsasori.dat	0	0	BDY	1	h	62
Character/Hsasori.dat	0	0	OPOINT	-1	count	0
Character/Hsasori.dat	0	0	WPOINT	-1	count	1
Character/Hsasori.dat	0	0	WPOINT	0	tuple	kind=1;x=53;y=58;attacking=0;cover=1;weaponact=21;dvx=0;dvy=0;dvz=0
Character/Hsasori.dat	0	0	BPOINT	-1	count	0
Character/Hsasori.dat	0	0	CPOINT	-1	count	0
Character/Hsasori.dat	1	1	FRAME	-1	scalars	name64=c3RhbmRpbmc=;pic=1;state=0;wait=7;next=2;dvx=0;dvy=0;dvz=0;centerx=44;centery=78;mp=0;hit_a=0;hit_d=0;hit_j=0;hit_Fj=275;hit_Fa=235;hit_Da=280;hit_Ua=240;hit_ja=270;hit_Dj=245;hit_Uj=255;sound64=
Character/Hsasori.dat	1	1	ITR	-1	count	0
Character/Hsasori.dat	1	1	BDY	-1	count	2
Character/Hsasori.dat	1	1	BDY	0	x	21
Character/Hsasori.dat	1	1	BDY	0	y	18
Character/Hsasori.dat	1	1	BDY	0	w	57
Character/Hsasori.dat	1	1	BDY	0	h	55
Character/Hsasori.dat	1	1	BDY	1	x	21
Character/Hsasori.dat	1	1	BDY	1	y	80000
Character/Hsasori.dat	1	1	BDY	1	w	43
Character/Hsasori.dat	1	1	BDY	1	h	62
Character/Hsasori.dat	1	1	OPOINT	-1	count	0
Character/Hsasori.dat	1	1	WPOINT	-1	count	1
Character/Hsasori.dat	1	1	WPOINT	0	tuple	kind=1;x=53;y=60;attacking=0;cover=1;weaponact=21;dvx=0;dvy=0;dvz=0
Character/Hsasori.dat	1	1	BPOINT	-1	count	0
Character/Hsasori.dat	1	1	CPOINT	-1	count	0
Character/Hsasori.dat	2	2	FRAME	-1	scalars	name64=c3RhbmRpbmc=;pic=2;state=0;wait=7;next=3;dvx=0;dvy=0;dvz=0;centerx=57;centery=78;mp=0;hit_a=0;hit_d=0;hit_j=0;hit_Fj=275;hit_Fa=235;hit_Da=280;hit_Ua=240;hit_ja=270;hit_Dj=245;hit_Uj=255;sound64=
Character/Hsasori.dat	2	2	ITR	-1	count	0
Character/Hsasori.dat	2	2	BDY	-1	count	2
Character/Hsasori.dat	2	2	BDY	0	x	21
Character/Hsasori.dat	2	2	BDY	0	y	18
Character/Hsasori.dat	2	2	BDY	0	w	57
Character/Hsasori.dat	2	2	BDY	0	h	55
Character/Hsasori.dat	2	2	BDY	1	x	21
Character/Hsasori.dat	2	2	BDY	1	y	80000
Character/Hsasori.dat	2	2	BDY	1	w	43
Character/Hsasori.dat	2	2	BDY	1	h	62
Character/Hsasori.dat	2	2	OPOINT	-1	count	0
Character/Hsasori.dat	2	2	WPOINT	-1	count	1
Character/Hsasori.dat	2	2	WPOINT	0	tuple	kind=1;x=52;y=58;attacking=0;cover=1;weaponact=21;dvx=0;dvy=0;dvz=0
Character/Hsasori.dat	2	2	BPOINT	-1	count	0
Character/Hsasori.dat	2	2	CPOINT	-1	count	0
Character/Hsasori.dat	3	3	FRAME	-1	scalars	name64=c3RhbmRpbmc=;pic=3;state=0;wait=7;next=999;dvx=0;dvy=0;dvz=0;centerx=57;centery=78;mp=0;hit_a=0;hit_d=0;hit_j=0;hit_Fj=275;hit_Fa=235;hit_Da=280;hit_Ua=240;hit_ja=270;hit_Dj=245;hit_Uj=255;sound64=
Character/Hsasori.dat	3	3	ITR	-1	count	0
Character/Hsasori.dat	3	3	BDY	-1	count	2
Character/Hsasori.dat	3	3	BDY	0	x	21
Character/Hsasori.dat	3	3	BDY	0	y	18
Character/Hsasori.dat	3	3	BDY	0	w	57
Character/Hsasori.dat	3	3	BDY	0	h	55
Character/Hsasori.dat	3	3	BDY	1	x	21
Character/Hsasori.dat	3	3	BDY	1	y	80000
Character/Hsasori.dat	3	3	BDY	1	w	43
Character/Hsasori.dat	3	3	BDY	1	h	62
Character/Hsasori.dat	3	3	OPOINT	-1	count	0
Character/Hsasori.dat	3	3	WPOINT	-1	count	1
Character/Hsasori.dat	3	3	WPOINT	0	tuple	kind=1;x=52;y=57;attacking=0;cover=1;weaponact=21;dvx=0;dvy=0;dvz=0
Character/Hsasori.dat	3	3	BPOINT	-1	count	0
Character/Hsasori.dat	3	3	CPOINT	-1	count	0
Character/Hsasori.dat	4	5	FRAME	-1	scalars	name64=d2Fsa2luZw==;pic=4;state=1;wait=3;next=999;dvx=0;dvy=0;dvz=0;centerx=39;centery=78;mp=0;hit_a=0;hit_d=0;hit_j=0;hit_Fj=275;hit_Fa=235;hit_Da=280;hit_Ua=240;hit_ja=270;hit_Dj=245;hit_Uj=255;sound64=
Character/Hsasori.dat	4	5	ITR	-1	count	0
Character/Hsasori.dat	4	5	BDY	-1	count	2
Character/Hsasori.dat	4	5	BDY	0	x	21
Character/Hsasori.dat	4	5	BDY	0	y	80000
Character/Hsasori.dat	4	5	BDY	0	w	43
Character/Hsasori.dat	4	5	BDY	0	h	62
Character/Hsasori.dat	4	5	BDY	1	x	28
Character/Hsasori.dat	4	5	BDY	1	y	15
Character/Hsasori.dat	4	5	BDY	1	w	57
Character/Hsasori.dat	4	5	BDY	1	h	65
Character/Hsasori.dat	4	5	OPOINT	-1	count	0
Character/Hsasori.dat	4	5	WPOINT	-1	count	1
Character/Hsasori.dat	4	5	WPOINT	0	tuple	kind=1;x=55;y=53;attacking=0;cover=1;weaponact=21;dvx=0;dvy=0;dvz=0
Character/Hsasori.dat	4	5	BPOINT	-1	count	0
Character/Hsasori.dat	4	5	CPOINT	-1	count	0
Character/Hsasori.dat	5	6	FRAME	-1	scalars	name64=d2Fsa2luZw==;pic=5;state=1;wait=3;next=999;dvx=0;dvy=0;dvz=0;centerx=39;centery=78;mp=0;hit_a=0;hit_d=0;hit_j=0;hit_Fj=275;hit_Fa=235;hit_Da=280;hit_Ua=240;hit_ja=270;hit_Dj=245;hit_Uj=255;sound64=
Character/Hsasori.dat	5	6	ITR	-1	count	0
Character/Hsasori.dat	5	6	BDY	-1	count	2
Character/Hsasori.dat	5	6	BDY	0	x	21
Character/Hsasori.dat	5	6	BDY	0	y	80000
Character/Hsasori.dat	5	6	BDY	0	w	43
Character/Hsasori.dat	5	6	BDY	0	h	62
Character/Hsasori.dat	5	6	BDY	1	x	28
Character/Hsasori.dat	5	6	BDY	1	y	15
Character/Hsasori.dat	5	6	BDY	1	w	57
Character/Hsasori.dat	5	6	BDY	1	h	65
Character/Hsasori.dat	5	6	OPOINT	-1	count	0
Character/Hsasori.dat	5	6	WPOINT	-1	count	1
Character/Hsasori.dat	5	6	WPOINT	0	tuple	kind=1;x=50;y=55;attacking=0;cover=1;weaponact=21;dvx=0;dvy=0;dvz=0
Character/Hsasori.dat	5	6	BPOINT	-1	count	0
Character/Hsasori.dat	5	6	CPOINT	-1	count	0
Character/Hsasori.dat	6	7	FRAME	-1	scalars	name64=d2Fsa2luZw==;pic=6;state=1;wait=3;next=999;dvx=0;dvy=0;dvz=0;centerx=44;centery=78;mp=0;hit_a=0;hit_d=0;hit_j=0;hit_Fj=275;hit_Fa=235;hit_Da=280;hit_Ua=240;hit_ja=270;hit_Dj=245;hit_Uj=255;sound64=
Character/Hsasori.dat	6	7	ITR	-1	count	0
Character/Hsasori.dat	6	7	BDY	-1	count	2
Character/Hsasori.dat	6	7	BDY	0	x	21
Character/Hsasori.dat	6	7	BDY	0	y	80000
Character/Hsasori.dat	6	7	BDY	0	w	43
Character/Hsasori.dat	6	7	BDY	0	h	62
Character/Hsasori.dat	6	7	BDY	1	x	28
Character/Hsasori.dat	6	7	BDY	1	y	15
Character/Hsasori.dat	6	7	BDY	1	w	57
Character/Hsasori.dat	6	7	BDY	1	h	65
Character/Hsasori.dat	6	7	OPOINT	-1	count	0
Character/Hsasori.dat	6	7	WPOINT	-1	count	1
Character/Hsasori.dat	6	7	WPOINT	0	tuple	kind=1;x=53;y=57;attacking=0;cover=1;weaponact=22;dvx=0;dvy=0;dvz=0
Character/Hsasori.dat	6	7	BPOINT	-1	count	0
Character/Hsasori.dat	6	7	CPOINT	-1	count	0
Character/Hsasori.dat	7	8	FRAME	-1	scalars	name64=d2Fsa2luZw==;pic=7;state=1;wait=3;next=999;dvx=0;dvy=0;dvz=0;centerx=50;centery=78;mp=0;hit_a=0;hit_d=0;hit_j=0;hit_Fj=275;hit_Fa=235;hit_Da=280;hit_Ua=240;hit_ja=270;hit_Dj=245;hit_Uj=255;sound64=
Character/Hsasori.dat	7	8	ITR	-1	count	0
Character/Hsasori.dat	7	8	BDY	-1	count	2
Character/Hsasori.dat	7	8	BDY	0	x	21
Character/Hsasori.dat	7	8	BDY	0	y	80000
Character/Hsasori.dat	7	8	BDY	0	w	43
Character/Hsasori.dat	7	8	BDY	0	h	62
Character/Hsasori.dat	7	8	BDY	1	x	28
