utc,pid,private_bytes,working_set_bytes,virtual_bytes,gpu_used_mib
2026-09-22T03:38:50.3827988Z,20120,51322880,88272896,6777585664,7209
2026-09-22T03:38:52.4509436Z,20120,52924416,90710016,6784299008,7210
2026-09-22T03:38:54.5152872Z,20120,52924416,90710016,6784299008,7213
2026-09-22T03:38:56.5857806Z,20120,52924416,90710016,6784299008,7200
2026-09-22T03:38:58.6524681Z,20120,455229440,382042112,15009927168,7218
2026-09-22T03:39:00.7155538Z,20120,461987840,389922816,15012257792,7220
2026-09-22T03:39:02.9245625Z,20120,677429248,561471488,15101059072,7352
2026-09-22T03:39:05.0053229Z,20120,1018413056,918220800,15358050304,7350
2026-09-22T03:39:07.0767464Z,20120,1129730048,1064955904,15358050304,7354
2026-09-22T03:39:09.1343028Z,20120,1220419584,1144197120,15457865728,7347
2026-09-22T03:39:11.2055907Z,20120,1395486720,1304313856,15624720384,7330
2026-09-22T03:39:13.2640352Z,20120,1674747904,1583493120,15909289984,7307
2026-09-22T03:39:15.3329594Z,20120,2015145984,1911570432,17314344960,7320
2026-09-22T03:39:17.3919113Z,20120,2602729472,2456199168,18201436160,7292
2026-09-22T03:39:19.4614399Z,20120,2788864000,2511089664,22785744896,7309
2026-09-22T03:39:21.5182442Z,20120,2878640128,2608123904,22872383488,7310
2026-09-22T03:39:23.5753754Z,20120,2893893632,2668122112,22920273920,7317
2026-09-22T03:39:25.6343397Z,20120,2857504768,2638647296,22903357440,7318
2026-09-22T03:39:27.7003058Z,20120,2889764864,2666160128,22929674240,7317
2026-09-22T03:39:29.7708777Z,20120,2975309824,2699493376,22944886784,7339
2026-09-22T03:39:31.8365754Z,20120,2977697792,2707398656,22945615872,7339
2026-09-22T03:39:33.8967607Z,20120,3029835776,2758516736,22997782528,7339
2026-09-22T03:39:35.9542856Z,20120,3064049664,2781659136,23031926784,7339
2026-09-22T03:39:38.0092112Z,20120,3098165248,2831396864,23064956928,7339
2026-09-22T03:39:40.0699422Z,20120,3132416000,2863427584,23098380288,7367
2026-09-22T03:39:42.1352077Z,20120,3131826176,2867847168,23067840512,7349
2026-09-22T03:39:44.1939675Z,20120,3200909312,2929659904,23136784384,7363
2026-09-22T03:39:46.2497238Z,20120,3609829376,3293671424,23523233792,7367
2026-09-22T03:39:48.3171704Z,20120,5002031104,4443897856,24731287552,7557
2026-09-22T03:39:50.3783916Z,20120,6220300288,5400539136,26825211904,7757
2026-09-22T03:39:52.4596021Z,20120,7290617856,6256431104,27719430144,7764
2026-09-22T03:39:54.5314041Z,20120,7996919808,6752882688,28728705024,8258
2026-09-22T03:39:56.6070849Z,20120,8398016512,6924128256,29532901376,8519
2026-09-22T03:39:58.6669514Z,20120,9643270144,7924023296,31039889408,8714
2026-09-22T03:40:00.7326944Z,20120,10653945856,8612089856,32397832192,8796
2026-09-22T03:40:02.7946821Z,20120,11113758720,8863997952,32656568320,9006
2026-09-22T03:40:04.8788669Z,20120,11524825088,9074872320,33453809664,9212
2026-09-22T03:40:06.9375540Z,20120,12102168576,9424150528,33797132288,9388
2026-09-22T03:40:09.0026850Z,20120,13104787456,10121338880,35708727296,9580
2026-09-22T03:40:11.0628898Z,20120,13242007552,10200559616,35775856640,9687
2026-09-22T03:40:13.1235763Z,20120,13143572480,10102321152,35676438528,9589
2026-09-22T03:40:15.1944155Z,20120,13146890240,10104365056,35677626368,9590
2026-09-22T03:40:17.2589444Z,20120,13006213120,9943719936,35648069632,9626
2026-09-22T03:40:19.3246561Z,20120,12997820416,9947340800,35648069632,9607
2026-09-22T03:40:21.3847106Z,20120,12996333568,9945726976,35648135168,9600
2026-09-22T03:40:23.4440434Z,20120,13013790720,9949323264,35648331776,9609
2026-09-22T03:40:25.5022729Z,20120,13014011904,9955688448,35648331776,9508
2026-09-22T03:40:27.5790584Z,20120,13013430272,9959358464,35647430656,9505
2026-09-22T03:40:29.6550949Z,20120,13016428544,9961996288,35647823872,9707
2026-09-22T03:40:31.7165601Z,20120,13016428544,9961996288,35647823872,9713
2026-09-22T03:40:33.7830177Z,20120,8689516544,7831928832,30052323328,7639
2026-09-22T03:40:35.8412400Z,20120,8694251520,7838834688,30051602432,7650
