relative_png,formal_sha256,formal_dat_references,classification,selected_path_status,next_proof
sprite/frame/INKHUD2/BARS.png,1B9B6A5D29066B8793A313B15088DDF5A93FCD6FC94C69B50695FAEF55DD4C34,data/frame/INKHUD2.dat,P17_NATIVE_HUD_EXCLUDED,USER_EXCLUDED,Preserve Unity battle HUD; alternate frame index and selected radar bound must not be used to authorize native HUD publication.
sprite/frame/INKHUD2/FRAME.png,095922904F25FF4A828CEC461D3BB42AF8AEC5B1C312699559381DA860398AB4,data/frame/INKHUD2.dat,P17_NATIVE_HUD_EXCLUDED,USER_EXCLUDED,Preserve Unity battle HUD; alternate frame index and selected radar bound must not be used to authorize native HUD publication.
sprite/Loading/loading.png,1BA1AE79F1DB40224BF34F64C96D574B3028264E39A28A4277F778AAC424EB2E,data/resource.dat,G08_NONBATTLE_FRONTEND,PROTECTED_NONBATTLE,Preserve Unity selection/loading flow; battle input/config mapping is separate.
sprite/Loading/menu_wait.png,5ACEF59287785B1B734610ED1F95673DFC85BC722FF84D8328C68247009F6136,data/system.dat,G08_NONBATTLE_FRONTEND,PROTECTED_NONBATTLE,Preserve Unity selection/loading flow; battle input/config mapping is separate.
sprite/menu/1.png,5FCC6D088CA761B43C5C110DCE2BDEF85B66E1190151A554FE803C4889C689DC,data/system.dat,G08_NONBATTLE_FRONTEND,PROTECTED_NONBATTLE,Preserve Unity selection/loading flow; battle input/config mapping is separate.
sprite/menu/2.png,8AEC85307A1078E1E26438916639ADC92E1ABB1C1B4F7DE646F36AB4EB348114,data/system.dat,G08_NONBATTLE_FRONTEND,PROTECTED_NONBATTLE,Preserve Unity selection/loading flow; battle input/config mapping is separate.
sprite/menu/3.png,6495766FC20F7E7D240E37E53918496A6695326418873BA92F130255BC99C18A,data/system.dat,G08_NONBATTLE_FRONTEND,PROTECTED_NONBATTLE,Preserve Unity selection/loading flow; battle input/config mapping is separate.
sprite/menu/4.png,680FCA19F7E38A5744246DA77B20360285425AA9F6A0F378262A13F0A80DB215,data/system.dat,G08_NONBATTLE_FRONTEND,PROTECTED_NONBATTLE,Preserve Unity selection/loading flow; battle input/config mapping is separate.
sprite/menu/5.png,EF17793D01A452387F55FAF1847E0344A3759A56235F100658E8A10D54CD831F,data/system.dat,G08_NONBATTLE_FRONTEND,PROTECTED_NONBATTLE,Preserve Unity selection/loading flow; battle input/config mapping is separate.
sprite/menu/6.png,472DB021836833C616E11CC9176501CF0D71107F443D0E8E6923F35C9ABD392B,data/system.dat,G08_NONBATTLE_FRONTEND,PROTECTED_NONBATTLE,Preserve Unity selection/loading flow; battle input/config mapping is separate.
