"id","dat_path","dat_staged","formal_sha256","unique_png_refs","missing_png_refs","name","width","zboundary"
"0","b/Wha/b.dat","False","E124A375E436851A0BB9FF8AEE10239AD84B91F9C0780A2D21C9A0D8B34E6DF0","3","3","_Wharf","1330","420 700"
"1","b/San/b.dat","False","6D24D24617CCBF45A094809B26E809E0992B2EE24AA9E68A8D68367FFCD20FCE","11","11","_Sand_Country","1330","375 575"
"2","b/Cav/b.dat","False","A22170B47268D37F4DCB5C39037B24FB74FFCF72AA8BA2E3F8127BA5AE582448","3","3","_Akatsuki_Cave","1330","495 690"
"3","b/Dee/b.dat","False","C2ECA786D08462C8313EFA47669014EC597C1DD9EF2094DE24A6703C844859E7","3","3","_Deepest_Forest","1330","350 540"
"4","b/For/b.dat","False","792A4CD39E8830872EEE197BE8B1C972690EBE4B76F4CD7094C89A27A9415422","3","3","_Forest","1330","431 715"
"5","b/Rai/b.dat","False","59EB3EB1B1A3231445A855D483AC0F526E90F3DF02BB1F16D7C5894AC4E4AF12","8","8","_Rain_Village","1330","625 715"
"6","b/Fod/b.dat","False","7A7B0E4CF4C1A73BB12E3A46646E68CA64E1F2F714540DDC399FDC5BFDD28DCE","3","3","_Training_Grounds","1330","555 680"
"7","b/Vil/b.dat","False","76DF36550205181726F8B6FECBEBC6D2F872C87DCC29F88A7959F2F64B2D445C","3","3","_Village","1330","500 700"
"8","b/Hid/b.dat","False","D1EE066F668CCB40D8BFBF4805E28AE30D52C795F41EAAB1BF4D9511ADC333C8","8","8","_Orochimaru's_Hideout","1330","450 690"
"9","b/San2/b.dat","False","54EA24B045660F2DAFA1B3645C74C96D528FB2FC3C05F07FD593FE73B2757E61","3","3","_Suna_Outskirts","1330","340 700"
"10","b/Dis/b.dat","False","0C8F9994B23D2F3076A93DD6EA5AFF1AEA58A9FEA0F3CAB45BC0FFEF26BFC13D","13","13","_District","1330","635 720"
"11","b/Ent/b.dat","False","00A762280162506C669127636C9C653AABBCC82EB32BEFF03C02D8FAA8BC9A20","3","3","_Entrance","1330","495 690"
"12","b/Are/b.dat","False","E6E4AF1A9C0F295180511B471B2FAF47DBF21DA1382D31A00CD156C766D4D81C","5","5","_Arena","1330","570 700"
"13","b/Hot/b.dat","False","4EE7A7854B8466DCED2EE112CD2C6277897EB41BEE5D1FF7F5CBE579A57866B6","5","5","_Hot_Springs","1330","615 730"
"14","b/Kab/b.dat","False","23D8FF08C6FA23D5F27AC8E2042411FD9F9D87BB25C8BF9B4CA6727F184EE05B","3","3","_Kabuto_Cave","1330","520 720"
"15","b/Pat/b.dat","False","F6EA188F89A874DB1CA0FB976CA4986E92C9DC4A8EA05A1FEA01B3E627E8668D","21","21","_Mountain_Path","1330","390 680"
"16","b/Des/b.dat","False","DFFC541A1BBDD72CEC3FF48EB7EB75EF1B7D1CD4F6FD456E752CB405734BA158","3","3","_Desert","1330","565 700"
"17","b/Ram/b.dat","False","64EB42AC237735A1B033305A172A066D6CDEE40A663CF2B049DA57DC566D74C7","3","3","_Ichiraku_Ramen","1330","525 700"
"18","b/Aca/b.dat","False","66674C6371C7FE199DD89EA621018C17A03878D27E24225AF650ADE6E6B3DD45","3","3","_Ninja_Academy","1330","570 710"
"19","b/Sno/b.dat","False","47A11A8C4B4F869EAB46D032D0F1FA57EDFC2C5437C3771598C2B745635B1A7B","3","3","_Land_of_Snow","1330","576 710"
"20","b/Uch/b.dat","False","677730C67DF0B8949D8FA462417B282220CFC1C232EFFBCA04917A011AB797BA","8","8","_Uchiha_Hideout","1330","395 710"
"21","b/Val/b.dat","False","4434961738D2A312D6F103B44C574649F86B2A34C7703BDD362798A922638B21","9","9","_Valley_of_the_End","1330","450 710"
"22","b/Cli/b.dat","False","5E78FF1684F4A4EBF68DD2AD139E8C8C4119A241884FB86DDC7DF703562AC3AB","3","3","_Cliff","1330","620 710"
"23","b/Hos/b.dat","False","5688294F306A62E4DD135A674BE4322900685F4A38098861DD687960B8F386DD","3","3","_Hospital_Rooftop","1330","542 712"
