kind	MjE0NzQ4MzY0OA==
x	MjE0NzQ4MzY0OA==
y	MjE0NzQ4MzY0OA==
w	MjE0NzQ4MzY0OA==
h	MjE0NzQ4MzY0OA==
dvx	MjE0NzQ4MzY0OA==
dvy	MjE0NzQ4MzY0OA==
fall	MjE0NzQ4MzY0OA==
arest	MjE0NzQ4MzY0OA==
vrest	MjE0NzQ4MzY0OA==
respond	MjE0NzQ4MzY0OA==
effect	MjE0NzQ4MzY0OA==
drain	MjE0NzQ4MzY0OA==
spark	MjE0NzQ4MzY0OA==
recover	MjE0NzQ4MzY0OA==
dbdefend	MjE0NzQ4MzY0OA==
bdefend	MjE0NzQ4MzY0OA==
injury	MjE0NzQ4MzY0OA==
zwidth	MjE0NzQ4MzY0OA==
z	MjE0NzQ4MzY0OA==
dvz	MjE0NzQ4MzY0OA==
sound	MjE0NzQ4MzY0OA==
cover	MjE0NzQ4MzY0OA==
caughtact	MjE0NzQ4MzY0OA==
catchingact	MjE0NzQ4MzY0OA==
pickedact	MjE0NzQ4MzY0OA==
pickingact	MjE0NzQ4MzY0OA==
delay	MjE0NzQ4MzY0OA==
poison	MjE0NzQ4MzY0OA==
confus	MjE0NzQ4MzY0OA==
weak	MjE0NzQ4MzY0OA==
manacle	MjE0NzQ4MzY0OA==
join	MjE0NzQ4MzY0OA==
mimic	MjE0NzQ4MzY0OA==
bound	MjE0NzQ4MzY0OA==
facing	MjE0NzQ4MzY0OA==
dx	MjE0NzQ4MzY0OA==
dy	MjE0NzQ4MzY0OA==
dz	MjE0NzQ4MzY0OA==
gain	MjE0NzQ4MzY0OA==
