tick,input,actor_action,actor_mp,oid434_count,slot52_oid,slot52_action,slot52_x,slot52_vx,sync_counter,sync_index,sync_calls,sync_last_call_site,sync_table_hash64
1,none,241,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
2,none,242,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
3,none,242,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
4,none,243,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
5,none,243,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
6,none,244,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
7,none,244,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
8,none,245,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
9,none,245,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
10,none,246,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
11,none,246,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
12,none,247,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
13,none,247,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
14,none,248,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
15,none,248,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
16,none,249,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
17,none,249,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
18,none,250,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
19,none,250,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
20,none,251,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
21,none,251,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
22,none,252,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
23,none,252,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
24,none,253,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
25,none,253,200,0,-1,-1,0,0,1,1,1,4202976,11653657294995290477
26,none,254,200,1,518,156,508,0,1,1,1,4202976,11653657294995290477
27,attack,254,200,1,518,157,508,0,1,1,1,4202976,11653657294995290477
28,attack,0,200,1,-1,-1,0,0,1,1,1,4202976,11653657294995290477
29,none,25,200,2,434,396,507,0,2,2,2,132,11653657294995290477
30,none,255,100,2,434,397,507,0,2,2,2,132,11653657294995290477
31,none,354,100,2,434,397,507,0,2,2,2,132,11653657294995290477
32,none,257,100,1,-1,-1,0,0,2,2,2,132,11653657294995290477
