attack_tick,attack_length,defend_tick,defend_length,tick,attack,defend,phase,actor_action,actor_mp,history3,history4,combo7,owned_oid204
2,1,3,1,1,0,0,1,0,500,-1,-1,0,0
2,1,3,1,2,1,0,0,65,500,-1,5,0,0
2,1,3,1,3,0,1,1,61,500,-1,5,0,0
2,1,3,1,4,0,0,0,61,500,-1,5,0,0
2,1,3,1,5,0,0,1,62,500,-1,5,0,0
2,1,3,1,6,0,0,0,62,500,-1,5,0,0
2,1,3,1,7,0,0,1,63,500,-1,5,0,0
2,1,3,1,8,0,0,0,63,500,-1,5,0,0
2,1,3,1,9,0,0,1,63,500,-1,5,0,0
2,1,3,1,10,0,0,0,63,500,-1,5,0,0
2,1,3,1,11,0,0,1,0,500,-1,5,0,0
2,1,3,1,12,0,0,0,0,500,-1,5,0,0
2,1,3,1,13,0,0,1,0,500,-1,5,0,0
2,1,3,1,14,0,0,0,0,500,-1,5,0,0
2,1,3,1,15,0,0,1,1,500,-1,5,0,0
2,1,3,1,16,0,0,0,1,500,-1,5,0,0
2,1,3,1,17,0,0,1,1,500,-1,5,0,0
2,1,3,1,18,0,0,0,1,500,-1,5,0,0
2,1,3,1,19,0,0,1,2,500,-1,5,0,0
2,1,3,1,20,0,0,0,2,500,-1,5,0,0
2,1,3,1,21,0,0,1,2,500,-1,5,0,0
2,1,3,1,22,0,0,0,2,500,-1,5,0,0
2,1,3,1,23,0,0,1,3,500,-1,5,0,0
2,1,3,1,24,0,0,0,3,500,-1,5,0,0
2,1,3,1,25,0,0,1,3,500,-1,5,0,0
2,1,3,1,26,0,0,0,3,500,-1,5,0,0
2,1,3,1,27,0,0,1,0,500,-1,5,0,0
2,1,3,1,28,0,0,0,0,500,-1,5,0,0
2,1,3,1,29,0,0,1,0,500,-1,5,0,0
2,1,3,1,30,0,0,0,0,500,-1,5,0,0
2,1,3,1,31,0,0,1,1,500,-1,5,0,0
2,1,3,1,32,0,0,0,1,500,-1,5,0,0
2,1,3,1,33,0,0,1,1,500,-1,5,0,0
2,1,3,1,34,0,0,0,1,500,-1,5,0,0
2,1,3,1,35,0,0,1,2,500,-1,5,0,0
2,1,3,1,36,0,0,0,2,500,-1,5,0,0
2,1,3,1,37,0,0,1,2,500,-1,5,0,0
2,1,3,1,38,0,0,0,2,500,-1,5,0,0
2,1,3,1,39,0,0,1,3,500,-1,5,0,0
2,1,3,1,40,0,0,0,3,500,-1,5,0,0
2,1,3,1,41,0,0,1,3,500,-1,5,0,0
2,1,3,1,42,0,0,0,3,500,-1,5,0,0
2,1,3,1,43,0,0,1,0,500,-1,5,0,0
2,1,3,1,44,0,0,0,0,500,-1,5,0,0
2,1,3,1,45,0,0,1,0,500,-1,5,0,0
2,1,3,2,1,0,0,1,0,500,-1,-1,0,0
2,1,3,2,2,1,0,0,65,500,-1,5,0,0
2,1,3,2,3,0,1,1,61,500,-1,5,0,0
2,1,3,2,4,0,1,0,145,300,-1,-1,0,0
2,1,3,2,5,0,0,1,146,300,-1,-1,0,0
2,1,3,2,6,0,0,0,164,300,-1,-1,0,5
2,1,3,2,7,0,0,1,165,300,-1,-1,0,5
2,1,3,2,8,0,0,0,166,300,-1,-1,0,5
2,1,3,2,9,0,0,1,167,300,-1,-1,0,5
2,1,3,2,10,0,0,0,168,300,-1,-1,0,5
2,1,3,2,11,0,0,1,169,300,-1,-1,0,5
2,1,3,2,12,0,0,0,169,300,-1,-1,0,5
2,1,3,2,13,0,0,1,169,300,-1,-1,0,5
2,1,3,2,14,0,0,0,169,300,-1,-1,0,0
2,1,3,2,15,0,0,1,193,300,-1,-1,0,0
2,1,3,2,16,0,0,0,194,300,-1,-1,0,0
2,1,3,2,17,0,0,1,194,300,-1,-1,0,0
2,1,3,2,18,0,0,0,194,300,-1,-1,0,0
2,1,3,2,19,0,0,1,194,300,-1,-1,0,0
2,1,3,2,20,0,0,0,194,300,-1,-1,0,0
2,1,3,2,21,0,0,1,194,300,-1,-1,0,0
2,1,3,2,22,0,0,0,0,300,-1,-1,0,0
2,1,3,2,23,0,0,1,0,300,-1,-1,0,0
2,1,3,2,24,0,0,0,0,300,-1,-1,0,0
2,1,3,2,25,0,0,1,0,300,-1,-1,0,0
2,1,3,2,26,0,0,0,1,300,-1,-1,0,0
2,1,3,2,27,0,0,1,1,300,-1,-1,0,0
2,1,3,2,28,0,0,0,1,300,-1,-1,0,0
2,1,3,2,29,0,0,1,1,300,-1,-1,0,0
2,1,3,2,30,0,0,0,2,300,-1,-1,0,0
2,1,3,2,31,0,0,1,2,300,-1,-1,0,0
2,1,3,2,32,0,0,0,2,300,-1,-1,0,0
2,1,3,2,33,0,0,1,2,300,-1,-1,0,0
2,1,3,2,34,0,0,0,3,300,-1,-1,0,0
2,1,3,2,35,0,0,1,3,300,-1,-1,0,0
2,1,3,2,36,0,0,0,3,300,-1,-1,0,0
2,1,3,2,37,0,0,1,3,300,-1,-1,0,0
2,1,3,2,38,0,0,0,0,300,-1,-1,0,0
2,1,3,2,39,0,0,1,0,300,-1,-1,0,0
2,1,3,2,40,0,0,0,0,300,-1,-1,0,0
2,1,3,2,41,0,0,1,0,300,-1,-1,0,0
2,1,3,2,42,0,0,0,1,300,-1,-1,0,0
2,1,3,2,43,0,0,1,1,300,-1,-1,0,0
2,1,3,2,44,0,0,0,1,300,-1,-1,0,0
2,1,3,2,45,0,0,1,1,300,-1,-1,0,0
