registry_section,registry_index,line_number,id,type,engine_category,display_category,source_path,path_prefix,source_stem,extraction_status,classification_status,name,hidden,random,published_folder,sprite_count,sprite_ref_count,dependency_count,plain_dat_sha256,raw_dat_sha256,plain_cache,raw_cache,planned_folder
object,0,3,901,0,character_object,conditional,custom\1genma\genma.dat,custom,genma,verified,classified_from_plain_dat,Genma,1,1,characters/conditional/0901_Genma,5,5,12,ab8f579fb2729750f76d43867164d635f7cf9542ee45b762b70b3d4aa8f7e5e3,82ce5883edc210a401a9068ae74f04dd176b5c293a837147404294d18f33ee9c,,,characters/conditional/0901_Genma
object,1,4,902,3,object_type_3,not_applicable,custom\1genma\a\shuriken.dat,custom,shuriken,verified,classified_from_plain_dat,,,,objects/type_3/0902_shuriken,1,1,0,6d85faa4a1974f177cbca9a5368c5ca9c2328a550dab5d2c1269d6c00b87cd8a,3b51d4c799070cce4a5ddb5693d85e2010161768ecfd3f816be706316ecb5e79,,,objects/type_3/0902_shuriken
object,2,5,903,0,character_object,conditional,custom\1genma\genmaclone.dat,custom,genmaclone,verified,classified_from_plain_dat,Genma(Clone),1,1,characters/conditional/0903_Genma(Clone),5,5,1,62adbc5f619d8dba3c28ab733f7fe403ae4eb35f257e3070e11b59c4ec73a950,b43f37a677227314988465dccdfd6840d352aa1acfb0b49dc72993977124a982,,,characters/conditional/0903_Genma(Clone)
object,3,6,904,3,object_type_3,not_applicable,custom\1genma\a\katon.dat,custom,katon,verified,classified_from_plain_dat,,,,objects/type_3/0904_katon,1,1,1,58fc555dbe5f6b56bc62dc670fbb59e9371f0eaefc6fccf98839e3bc0c0e1e8e,75998c160bae797515f2862744da494d9648e095b9d6304af363bedc7e1b50d2,,,objects/type_3/0904_katon
object,4,7,905,3,object_type_3,not_applicable,custom\1genma\a\smalldragon.dat,custom,smalldragon,verified,classified_from_plain_dat,,,,objects/type_3/0905_smalldragon,1,1,0,b2c82488ec4b15acc956929a21e7177dea4294d253958b5b98ce27767454d2fa,d54634c171bd9aa7b1d0803c636359ec52f3ce054c5b66ffd6c9dfa9966dad14,,,objects/type_3/0905_smalldragon
object,5,8,906,3,object_type_3,not_applicable,custom\1genma\a\bigdragon.dat,custom,bigdragon,verified,classified_from_plain_dat,,,,objects/type_3/0906_bigdragon,1,1,0,df5bcd1e9b5da700cfdf6cc7ab1265ca6cfe129a85cdaf94d33e21c09d8d8a80,1b530db892301a2489ef3a4983fa97e2b57f21ca665cda18ec954137c2ef8897,,,objects/type_3/0906_bigdragon
object,6,9,907,3,object_type_3,not_applicable,custom\1genma\a\wind.dat,custom,wind,verified,classified_from_plain_dat,,,,objects/type_3/0907_wind,1,1,0,99c04d29960b4873bc5bd4001cddc855810fd76bf1f530ed220f7906aa05e5ed,d240cbf6c673e8b3957a02f9a4adab6dc6178132c766bc76f4e4b07d42d42126,,,objects/type_3/0907_wind
object,7,11,50,0,character_object,conditional,m\ton\ton.dat,m,ton,verified,classified_from_plain_dat,Tonton,1,1,characters/conditional/0050_Tonton,5,5,4,8f74873703d3f0599a519added93c487dc7e736013a53fc116653fd29fdc614b,e0d192f877ce9a2d4083280f90938cad66b101085711af686dd7eb06d82769f1,,,characters/conditional/0050_Tonton
object,8,12,39,0,character_object,conditional,m\san\san.dat,m,san,verified,classified_from_plain_dat,Sand_Creature,1,1,characters/conditional/0039_Sand_Creature,6,6,2,83bb358dd080af36d5877d46de58db510110e0697ef2fcb8a6812e68bdf1868f,00f95f42d897550af4442a9c3ebacac38a00d475bab09dc655658df92e1e2ccf,,,characters/conditional/0039_Sand_Creature
object,9,13,32,0,character_object,conditional,m\nin\hun.dat,m,hun,verified,classified_from_plain_dat,Hunter_Nin,1,1,characters/conditional/0032_Hunter_Nin,5,5,3,95b3ecf64da8f9ea702d7acd48cbbabcd73cf1b7cf6b1b8e899c4a96df9cd903,fb6af05d27eda4f678d80ee2ac63a54568a99f5b2c1e0852c4162ec3e5d2ae32,,,characters/conditional/0032_Hunter_Nin
