tick,input,action,last_action_144,hp,mp,oid440_count,target_hp,target_action
1,none,110,0,500,500,0,500,0
2,defend,110,0,500,500,0,500,0
3,none,110,0,500,500,0,500,0
4,right,110,0,500,500,0,500,1
5,none,110,0,500,500,0,500,1
6,attack,261,261,500,400,0,500,1
7,none,261,261,500,400,0,500,1
8,none,261,261,500,400,0,500,2
9,none,262,261,500,400,0,500,2
10,none,262,261,500,400,0,500,2
11,none,262,261,500,400,0,500,2
12,none,263,261,500,400,0,500,3
13,none,263,261,500,400,0,500,3
14,none,263,261,500,400,0,500,3
15,none,264,261,500,400,4,500,3
16,none,264,261,500,400,4,500,0
17,none,265,261,500,400,4,500,0
18,none,265,261,500,400,4,500,0
19,none,266,261,500,400,4,500,0
20,none,266,261,500,400,4,500,1
21,none,266,261,500,400,4,500,1
22,none,266,261,500,400,4,500,1
23,none,246,261,500,400,4,500,1
24,none,246,261,500,400,4,500,2
25,none,246,261,500,400,4,500,2
26,none,246,261,500,400,4,500,2
