file	type	index	line	key	value_hex
decoded_dat/a/ama/ama.dat	document	1	0		
decoded_dat/a/ama/ama2.dat	document	1	0		
decoded_dat/a/blac/blac.dat	document	1	0		
decoded_dat/a/blas/blas.dat	document	1	0		
decoded_dat/a/ble/ble.dat	document	1	0		
decoded_dat/a/cha/cha.dat	document	1	0		
decoded_dat/a/cla/cla.dat	document	1	0		
decoded_dat/a/fir/fir.dat	document	1	0		
decoded_dat/a/fir/firz.dat	document	1	0		
decoded_dat/a/fir/fla.dat	document	1	0		
decoded_dat/a/fla/fla.dat	document	1	0		
decoded_dat/a/fro/fro.dat	document	1	0		
decoded_dat/a/gro/gro.dat	document	1	0		
decoded_dat/a/gro/gro2.dat	document	1	0		
decoded_dat/a/hea/hea.dat	document	1	0		
decoded_dat/a/kam/kam.dat	document	1	0		
decoded_dat/a/kat/kat.dat	document	1	0		
decoded_dat/a/kat/kat2.dat	document	1	0		
decoded_dat/a/kat/kat3.dat	document	1	0		
decoded_dat/a/kat/kat4.dat	document	1	0		
decoded_dat/a/lig/lig.dat	document	1	0		
decoded_dat/a/meg/meg.dat	document	1	0		
decoded_dat/a/pof/god.dat	document	1	0		
decoded_dat/a/pof/pof.dat	document	1	0		
decoded_dat/a/pof/pof2.dat	document	1	0		
decoded_dat/a/pur/pur.dat	document	1	0		
decoded_dat/a/roc/roc.dat	document	1	0		
decoded_dat/a/sna/sna.dat	document	1	0		
decoded_dat/a/sna/snaoro.dat	document	1	0		
decoded_dat/a/sna/snasas.dat	document	1	0		
decoded_dat/a/spi/spi.dat	document	1	0		
decoded_dat/a/tra/tra.dat	document	1	0		
decoded_dat/a/wal/wal.dat	document	1	0		
decoded_dat/a/wat/wat.dat	document	1	0		
decoded_dat/a/wat/wat2.dat	document	1	0		
decoded_dat/a/win/win.dat	document	1	0		
decoded_dat/a/zzz/zzz.dat	document	1	0		
decoded_dat/b/Aca/b.dat	document	1	0		
decoded_dat/b/Are/b.dat	document	1	0		
decoded_dat/b/Cav/b.dat	document	1	0		
decoded_dat/b/Cli/b.dat	document	1	0		
decoded_dat/b/Dee/b.dat	document	1	0		
decoded_dat/b/Des/b.dat	document	1	0		
decoded_dat/b/Dis/b.dat	document	1	0		
decoded_dat/b/Ent/b.dat	document	1	0		
decoded_dat/b/Fod/b.dat	document	1	0		
decoded_dat/b/For/b.dat	document	1	0		
decoded_dat/b/Hid/b.dat	document	1	0		
decoded_dat/b/Hos/b.dat	document	1	0		
decoded_dat/b/Hot/b.dat	document	1	0		
decoded_dat/b/Kab/b.dat	document	1	0		
decoded_dat/b/Pat/b.dat	document	1	0		
decoded_dat/b/Rai/b.dat	document	1	0		
decoded_dat/b/Ram/b.dat	document	1	0		
decoded_dat/b/San/b.dat	document	1	0		
decoded_dat/b/San2/b.dat	document	1	0		
decoded_dat/b/Sno/b.dat	document	1	0		
decoded_dat/b/Uch/b.dat	document	1	0		
decoded_dat/b/Val/b.dat	document	1	0		
decoded_dat/b/Vil/b.dat	document	1	0		
decoded_dat/b/Wha/b.dat	document	1	0		
decoded_dat/c/0/spe.dat	document	1	0		
decoded_dat/c/ank/a/atk.dat	document	1	0		
decoded_dat/c/ank/a/atk2.dat	document	1	0		
decoded_dat/c/ank/a/atk3.dat	document	1	0		
decoded_dat/c/ank/acl.dat	document	1	0		
decoded_dat/c/ank/ank.dat	document	1	0		
decoded_dat/c/ank/ssnk.dat	document	1	0		
decoded_dat/c/asu/a/ash.dat	document	1	0		
decoded_dat/c/asu/a/fly.dat	document	1	0		
decoded_dat/c/asu/asu.dat	document	1	0		
decoded_dat/c/bee/a/wind.dat	document	1	0		
decoded_dat/c/bee/bee.dat	document	1	0		
decoded_dat/c/chi/a/atk.dat	document	1	0		
decoded_dat/c/chi/a/pup.dat	document	1	0		
decoded_dat/c/chi/chi.dat	document	1	0		
decoded_dat/c/chi/pup1.dat	document	1	0		
decoded_dat/c/chi/pup10.dat	document	1	0		
decoded_dat/c/chi/pup2.dat	document	1	0		
decoded_dat/c/chi/pup3.dat	document	1	0		
decoded_dat/c/chi/pup4.dat	document	1	0		
decoded_dat/c/chi/pup5.dat	document	1	0		
decoded_dat/c/chi/pup6.dat	document	1	0		
decoded_dat/c/chi/pup7.dat	document	1	0		
decoded_dat/c/chi/pup8.dat	document	1	0		
decoded_dat/c/chi/pup9.dat	document	1	0		
decoded_dat/c/dan/a/iza.dat	document	1	0		
decoded_dat/c/dan/a/mark.dat	document	1	0		
decoded_dat/c/dan/a/win.dat	document	1	0		
decoded_dat/c/dan/dan.dat	document	1	0		
decoded_dat/c/dan/danr.dat	document	1	0		
decoded_dat/c/dei/a/cla.dat	document	1	0		
decoded_dat/c/dei/a/cla2.dat	document	1	0		
decoded_dat/c/dei/a/cla3.dat	document	1	0		
