"NativeId","Column","Row","SourceX","SourceY","DrawableByNativeRule","FitsFormal500x320","NativeActuallyDraws","LegacyUnityPic"
"0","0","0","0","0","True","True","True","0"
"1","1","0","100","0","True","True","True","1"
"2","2","0","200","0","True","True","True","2"
"3","3","0","300","0","True","True","True","3"
"4","4","0","400","0","True","True","True","4"
"5","5","0","500","0","True","False","False","-1"
"6","6","0","600","0","True","False","False","-1"
"7","7","0","700","0","True","False","False","-1"
"8","8","0","800","0","True","False","False","-1"
"9","9","0","900","0","False","False","False","-1"
"10","0","1","0","80","True","True","True","5"
"11","1","1","100","80","True","True","True","6"
"12","2","1","200","80","True","True","True","7"
"13","3","1","300","80","True","True","True","8"
"14","4","1","400","80","True","True","True","9"
"15","5","1","500","80","True","False","False","-1"
"16","6","1","600","80","True","False","False","-1"
"17","7","1","700","80","True","False","False","-1"
"18","8","1","800","80","True","False","False","-1"
"19","9","1","900","80","False","False","False","-1"
"20","0","2","0","160","True","True","True","10"
"21","1","2","100","160","True","True","True","10"
"22","2","2","200","160","True","True","True","11"
"23","3","2","300","160","True","True","True","11"
"24","4","2","400","160","True","True","True","12"
"25","5","2","500","160","True","False","False","12"
"26","6","2","600","160","True","False","False","13"
"27","7","2","700","160","True","False","False","13"
"28","8","2","800","160","True","False","False","14"
"29","9","2","900","160","False","False","False","-1"
"30","0","3","0","240","True","True","True","15"
"31","1","3","100","240","True","True","True","15"
"32","2","3","200","240","True","True","True","16"
"33","3","3","300","240","True","True","True","16"
"34","4","3","400","240","True","True","True","17"
"35","5","3","500","240","True","False","False","17"
"36","6","3","600","240","True","False","False","18"
"37","7","3","700","240","True","False","False","18"
"38","8","3","800","240","True","False","False","19"
"39","9","3","900","240","False","False","False","-1"
"40","0","4","0","320","True","False","False","-1"
"41","1","4","100","320","True","False","False","-1"
"42","2","4","200","320","True","False","False","-1"
"43","3","4","300","320","True","False","False","-1"
"44","4","4","400","320","True","False","False","-1"
"45","5","4","500","320","True","False","False","-1"
"46","6","4","600","320","True","False","False","-1"
"47","7","4","700","320","True","False","False","-1"
"48","8","4","800","320","True","False","False","-1"
"49","9","4","900","320","False","False","False","-1"
"50","0","5","0","400","True","False","False","-1"
"51","1","5","100","400","True","False","False","-1"
"52","2","5","200","400","True","False","False","-1"
"53","3","5","300","400","True","False","False","-1"
"54","4","5","400","400","True","False","False","-1"
"55","5","5","500","400","True","False","False","-1"
"56","6","5","600","400","True","False","False","-1"
"57","7","5","700","400","True","False","False","-1"
"58","8","5","800","400","True","False","False","-1"
"59","9","5","900","400","False","False","False","-1"
"60","0","6","0","480","True","False","False","-1"
"61","1","6","100","480","True","False","False","-1"
"62","2","6","200","480","True","False","False","-1"
"63","3","6","300","480","True","False","False","-1"
"64","4","6","400","480","True","False","False","-1"
"65","5","6","500","480","True","False","False","-1"
"66","6","6","600","480","True","False","False","-1"
"67","7","6","700","480","True","False","False","-1"
"68","8","6","800","480","True","False","False","-1"
"69","9","6","900","480","False","False","False","-1"
"70","0","7","0","560","True","False","False","-1"
"71","1","7","100","560","True","False","False","-1"
"72","2","7","200","560","True","False","False","-1"
"73","3","7","300","560","True","False","False","-1"
"74","4","7","400","560","True","False","False","-1"
"75","5","7","500","560","True","False","False","-1"
"76","6","7","600","560","True","False","False","-1"
"77","7","7","700","560","True","False","False","-1"
"78","8","7","800","560","True","False","False","-1"
"79","9","7","900","560","False","False","False","-1"
"80","0","8","0","640","True","False","False","-1"
"81","1","8","100","640","True","False","False","-1"
"82","2","8","200","640","True","False","False","-1"
"83","3","8","300","640","True","False","False","-1"
"84","4","8","400","640","True","False","False","-1"
"85","5","8","500","640","True","False","False","-1"
"86","6","8","600","640","True","False","False","-1"
"87","7","8","700","640","True","False","False","-1"
"88","8","8","800","640","True","False","False","-1"
"89","9","8","900","640","False","False","False","-1"
"90","0","9","0","720","True","False","False","-1"
"91","1","9","100","720","True","False","False","-1"
"92","2","9","200","720","True","False","False","-1"
"93","3","9","300","720","True","False","False","-1"
"94","4","9","400","720","True","False","False","-1"
"95","5","9","500","720","True","False","False","-1"
"96","6","9","600","720","True","False","False","-1"
"97","7","9","700","720","True","False","False","-1"
"98","8","9","800","720","True","False","False","-1"
"99","9","9","900","720","False","False","False","-1"
